TotalSF,OverallQual,YearBuilt,YearRemodAdd,GrLivArea,LotArea,KitchenQual_2,BsmtUnfSF,BsmtFinSF1,CentralAir_1,SalePrice
3114,7,2003,2003,1710,8450,1,150,706,1,12.24769911637256
2984,6,1976,1976,1262,9600,0,284,978,1,12.109016442313738
3314,7,2001,2002,1786,11250,1,434,486,1,12.317171167298682
3115,7,1915,1970,1717,9550,1,540,216,1,11.849404844423074
4179,8,2000,2000,2198,14260,1,490,655,1,12.429220196836383
2638,5,1993,1995,1362,14115,0,64,732,1,11.870606902224587
4016,8,2004,2005,1694,10084,1,317,1369,1,12.634606283893019
3681,7,1973,1973,2090,10382,0,216,859,1,12.206077645517674
3194,7,1931,1950,1774,6120,0,952,0,1,11.774527900858468
2273,5,1939,1950,1077,7420,0,140,851,1,11.678448377988165
2464,5,1965,1965,1040,11200,0,134,906,1,11.771443882099637
4235,9,2005,2006,2324,11924,1,177,998,1,12.75130259456002
2176,5,1962,1962,912,12968,0,175,737,1,11.87757552297847
3828,7,2006,2007,1494,10652,1,1494,0,1,12.540761149388421
2858,6,1960,1960,1253,10920,0,520,733,1,11.964007453736912
2262,7,1929,2001,854,6120,0,832,0,1,11.790564777297387
2488,6,1970,1970,1004,11241,0,426,578,1,11.91170829631447
1812,4,1967,1967,1296,10791,0,0,0,1,11.407576060361786
2804,5,2004,2004,1114,13695,1,468,646,1,11.976665770490767
2662,5,1958,1965,1339,7560,0,525,504,1,11.842236406331555
4387,8,2005,2006,2376,14215,1,1158,0,1,12.692506186542177
2025,7,1930,1950,1108,7449,1,637,0,1,11.845109950883979
4106,8,2002,2002,1795,9742,1,1777,0,1,12.345838935721968
2672,5,1976,1976,1060,4224,0,200,840,1,11.774527900858468
2390,5,1968,2001,1060,8246,1,204,188,1,11.944714374881176
4056,8,2007,2007,1600,14230,1,1566,0,1,12.454107814022272
2376,5,1951,2000,900,7200,1,180,234,1,11.811554895830454
4180,8,2007,2008,1704,11478,1,486,1218,1,12.631343648903034
3403,5,1957,1997,1600,16321,0,207,1277,1,12.242891437918386
1280,4,1927,1950,520,6324,0,520,0,0,11.134603622683905
2216,4,1920,1950,1317,8500,0,649,0,0,10.596659732783579
2727,5,1966,2006,1228,8544,1,1228,0,1,11.914054519303125
2952,8,2007,2007,1234,11049,1,1234,0,1,12.100161978566867
3545,5,1959,1959,1700,10552,1,380,1018,1,12.016732516077072
3678,9,2005,2005,1561,7313,1,408,1153,1,12.533579815765737
4260,8,2004,2005,2452,13418,1,1117,0,1,12.6410997921206
2866,5,1994,1995,1097,10859,0,1097,0,1,11.884495917930655
3092,5,1954,1990,1297,8532,0,84,1213,1,11.938199736300925
